Code;Sample
1;At_AmbientCO2_HighNitrate_Fe1
2;At_AmbientCO2_HighNitrate_Fe2
3;At_AmbientCO2_HighNitrate_Fe3
4;At_AmbientCO2_LowNitrate_Fe1
5;At_AmbientCO2_LowNitrate_Fe2
6;At_AmbientCO2_LowNitrate_Fe3
7;At_ElevatedCO2_HighNitrate_Fe1
8;At_ElevatedCO2_HighNitrate_Fe2
9;At_ElevatedCO2_HighNitrate_Fe3
10;At_ElevatedCO2_LowNitrate_Fe1
11;At_ElevatedCO2_LowNitrate_Fe2
12;At_ElevatedCO2_LowNitrate_Fe3
13;At_AmbientCO2_HighNitrate_FeStarvation1
14;At_AmbientCO2_HighNitrate_FeStarvation2
15;At_AmbientCO2_HighNitrate_FeStarvation3
16;At_AmbientCO2_LowNitrate_FeStarvation1
17;At_AmbientCO2_LowNitrate_FeStarvation2
18;At_AmbientCO2_LowNitrate_FeStarvation3
19;At_ElevatedCO2_HighNitrate_FeStarvation1
20;At_ElevatedCO2_HighNitrate_FeStarvation2
21;At_ElevatedCO2_HighNitrate_FeStarvation3
22;At_ElevatedCO2_LowNitrate_FeStarvation1
23;At_ElevatedCO2_LowNitrate_FeStarvation2
24;At_ElevatedCO2_LowNitrate_FeStarvation3
25;Sl_AmbientCO2_HighNitrate_Fe1
26;Sl_AmbientCO2_HighNitrate_Fe2
27;Sl_AmbientCO2_HighNitrate_Fe3
28;Sl_AmbientCO2_LowNitrate_Fe1
29;Sl_AmbientCO2_LowNitrate_Fe2
30;Sl_AmbientCO2_LowNitrate_Fe3
31;Sl_ElevatedCO2_HighNitrate_Fe1
32;Sl_ElevatedCO2_HighNitrate_Fe2
33;Sl_ElevatedCO2_HighNitrate_Fe3
34;Sl_ElevatedCO2_LowNitrate_Fe1
35;Sl_ElevatedCO2_LowNitrate_Fe2
36;Sl_ElevatedCO2_LowNitrate_Fe3
37;Sl_AmbientCO2_HighNitrate_FeStarvation1
38;Sl_AmbientCO2_HighNitrate_FeStarvation2
39;Sl_AmbientCO2_HighNitrate_FeStarvation3
40;Sl_AmbientCO2_LowNitrate_FeStarvation1
41;Sl_AmbientCO2_LowNitrate_FeStarvation2
42;Sl_AmbientCO2_LowNitrate_FeStarvation3
43;Sl_ElevatedCO2_HighNitrate_FeStarvation1
44;Sl_ElevatedCO2_HighNitrate_FeStarvation2
45;Sl_ElevatedCO2_HighNitrate_FeStarvation3
46;Sl_ElevatedCO2_LowNitrate_FeStarvation1
47;Sl_ElevatedCO2_LowNitrate_FeStarvation2
48;Sl_ElevatedCO2_LowNitrate_FeStarvation3
