gene1	gene2	cor	p.adj
AT5G63160	AT2G39980	-0.926226128855535	7.03336359418297e-07
AT4G11650	AT1G73260	0.910688309611313	5.29289144805484e-06
AT4G17500	AT4G17490	0.949725104081865	1.16981244256155e-08
AT2G34315	AT3G48360	0.927896921310575	5.51482062998139e-07
AT1G54970	AT4G07960	0.954357624323329	4.13578823062512e-09
AT1G54970	AT5G57530	0.918211885814002	2.09324653531388e-06
AT4G07960	AT5G57530	0.980672646607281	3.74012730141736e-13
AT2G39980	AT4G12470	0.971894001455098	2.19111690279713e-11
AT1G54970	AT4G08410	0.928155409235291	5.3083346366994e-07
AT4G07960	AT4G08410	0.985013760268601	2.33020198907675e-14
AT5G57530	AT4G08410	0.985656688852149	1.44330967575631e-14
AT5G37690	AT4G03540	0.922329447881392	1.21197892676496e-06
AT1G54970	AT5G57540	0.973930716901109	9.68552952739983e-12
AT4G07960	AT5G57540	0.982959187335785	9.4718177502735e-14
AT5G57530	AT5G57540	0.966766478023387	1.34716166175646e-10
AT4G08410	AT5G57540	0.969831749509666	4.72280594017902e-11
AT3G48360	AT3G03870	0.932757242513507	2.62430181504442e-07
AT1G80180	AT3G03870	0.902558079594334	1.32147321304637e-05
AT4G03540	AT1G56580	0.940336736396081	7.32551432895861e-08
AT1G54970	AT4G13390	0.983441253979447	6.92568217176961e-14
AT4G07960	AT4G13390	0.986570013871953	7.03203660650824e-15
AT5G57530	AT4G13390	0.960997137257509	7.59808204150663e-10
AT4G08410	AT4G13390	0.974224980411047	8.563277677562e-12
AT5G57540	AT4G13390	0.990256329072245	2.1015801848021e-16
AT4G03540	AT5G49850	0.921331816366069	1.38738571564152e-06
AT1G56580	AT5G49850	0.91622526997329	2.69706115494025e-06
AT3G06435	AT3G27220	0.980413879971183	4.32263823392246e-13
AT4G11650	AT3G45300	0.904733289577065	1.04281672295746e-05
AT1G73260	AT3G45300	0.971554061433215	2.49608138008111e-11
AT1G54970	AT1G12040	0.945630545920428	2.70973431431138e-08
AT4G07960	AT1G12040	0.979296926501807	7.90854118885522e-13
AT5G57530	AT1G12040	0.969562676321786	5.2002622270607e-11
AT4G08410	AT1G12040	0.976334739803807	3.38807714447523e-12
AT5G57540	AT1G12040	0.972703847077856	1.59563878689961e-11
AT4G13390	AT1G12040	0.97991750735483	5.67685433758937e-13
AT4G12470	AT2G27550	0.910330251242003	5.51888262565172e-06
AT1G54970	AT3G60550	0.904462013041617	1.07415626185689e-05
AT4G07960	AT3G60550	0.911109797467982	5.03586429635536e-06
AT5G57540	AT3G60550	0.928451566850551	5.08026212217576e-07
AT4G13390	AT3G60550	0.913835015259361	3.62877559515584e-06
AT1G12040	AT3G60550	0.907016626578256	8.08127288121983e-06
AT1G54970	AT5G05500	0.933605177605234	2.29209679647546e-07
AT4G07960	AT5G05500	0.986188302468069	9.55214149891396e-15
AT5G57530	AT5G05500	0.980268792121587	4.68395348565785e-13
AT4G08410	AT5G05500	0.978942020805115	9.51432658079814e-13
AT5G57540	AT5G05500	0.979111280560715	8.71396716436682e-13
AT4G13390	AT5G05500	0.97387215362795	9.92369693665206e-12
AT1G12040	AT5G05500	0.991813220368694	3.12222075297739e-17
AT3G60550	AT5G05500	0.91855737718503	2.00153658606798e-06
AT1G54970	AT3G62680	0.945318126352362	2.88109260402022e-08
AT4G07960	AT3G62680	0.982158435933802	1.56366910919144e-13
AT5G57530	AT3G62680	0.981126338397907	2.88683081915667e-13
AT4G08410	AT3G62680	0.97887037535458	9.87090721108806e-13
AT5G57540	AT3G62680	0.979919327883112	5.67191607031369e-13
AT4G13390	AT3G62680	0.978168476610762	1.40898753344979e-12
AT1G12040	AT3G62680	0.995752742482693	2.33231572208106e-20
AT3G60550	AT3G62680	0.92166201158838	1.3268960137279e-06
AT5G05500	AT3G62680	0.995966190114887	1.32431158090711e-20
AT5G37690	AT3G03530	0.920847158247099	1.4796752030236e-06
AT4G03540	AT3G03530	0.962889150965429	4.44122765779179e-10
AT1G56580	AT3G03530	0.96830303611388	8.0675136768982e-11
AT5G49850	AT3G03530	0.961880768623024	5.93304554689357e-10
AT3G25770	AT1G02640	-0.962094675819586	5.58315396919084e-10
AT4G11650	AT3G01970	0.949479439662529	1.23268090512359e-08
AT3G45300	AT3G01970	0.919161196947728	1.84997085297353e-06
AT4G11650	AT4G19700	0.949209033937949	1.30525942312574e-08
AT3G45300	AT4G19700	0.923167962460184	1.0809190901133e-06
AT3G01970	AT4G19700	0.965469861830784	2.03785691298696e-10
AT4G07960	AT5G10760	-0.900513575441526	1.64215484321725e-05
AT4G03540	AT5G10760	0.901427611597146	1.49085679217712e-05
AT5G57540	AT5G10760	-0.92467715309003	8.75882842433174e-07
AT1G56580	AT5G10760	0.930048116654563	3.99644484531918e-07
AT5G49850	AT5G10760	0.923310801722747	1.05986550982899e-06
AT3G60550	AT5G10760	-0.937395488905868	1.22453536706666e-07
AT3G03530	AT5G10760	0.946768476445202	2.16003870631121e-08
AT5G63160	AT5G28630	0.916539050140323	2.59249958974338e-06
AT2G39980	AT5G28630	-0.963263699299924	3.98211080676875e-10
AT4G12470	AT5G28630	-0.955247171211567	3.34778826584004e-09
AT1G54970	AT1G11920	0.943262817460161	4.27772409043001e-08
AT4G07960	AT1G11920	0.97255839024265	1.6903605615431e-11
AT5G57530	AT1G11920	0.944554727366756	3.34253101238677e-08
AT4G08410	AT1G11920	0.946550490152521	2.25677363178239e-08
AT5G57540	AT1G11920	0.964200004027183	3.01179916574403e-10
AT4G13390	AT1G11920	0.970401670675269	3.84008544453557e-11
AT1G12040	AT1G11920	0.978461742272319	1.21601726392923e-12
AT3G60550	AT1G11920	0.921139319881145	1.42318890601622e-06
AT5G05500	AT1G11920	0.981230584367309	2.71815255838438e-13
AT3G62680	AT1G11920	0.977401404966613	2.05104853866533e-12
AT1G54970	AT5G35190	0.960240979714258	9.34861638352096e-10
AT4G07960	AT5G35190	0.987531291615606	3.12187293869596e-15
AT5G57530	AT5G35190	0.970100106567444	4.28654927173707e-11
AT4G08410	AT5G35190	0.988336587333956	1.50410226078107e-15
AT5G57540	AT5G35190	0.986657802693486	6.54602839382126e-15
AT4G13390	AT5G35190	0.991642419883008	3.91483305057086e-17
AT1G12040	AT5G35190	0.974154378723927	8.82091964253703e-12
AT5G05500	AT5G35190	0.974726537540644	6.91798329128369e-12
AT3G62680	AT5G35190	0.974449752423314	7.78576617253489e-12
AT1G11920	AT5G35190	0.955355368007857	3.26226043858254e-09
AT4G07960	AT5G46890	0.957076840279396	2.1358776829764e-09
AT5G57530	AT5G46890	0.978085056814659	1.46861295347813e-12
AT4G08410	AT5G46890	0.966837747680006	1.31647258175194e-10
AT4G03540	AT5G46890	-0.943580253997496	4.02819050226273e-08
AT5G57540	AT5G46890	0.940855765147234	6.67373347069193e-08
AT1G56580	AT5G46890	-0.925264682570351	8.0642569048243e-07
AT4G13390	AT5G46890	0.931141103005694	3.38148409607787e-07
AT5G49850	AT5G46890	-0.901165684841433	1.53271308232362e-05
AT1G12040	AT5G46890	0.937614884997025	1.17994124725361e-07
AT5G05500	AT5G46890	0.953378254922513	5.19736061271559e-09
AT3G62680	AT5G46890	0.951158098975736	8.57330550819343e-09
AT3G03530	AT5G46890	-0.930539143485754	3.70932063484179e-07
AT5G10760	AT5G46890	-0.926857038421052	6.42236446294122e-07
AT5G35190	AT5G46890	0.951004817449897	8.86544746324107e-09
AT1G54970	AT5G22410	0.939504892867402	8.49426679812824e-08
AT4G07960	AT5G22410	0.984566703448739	3.21196031007961e-14
AT5G57530	AT5G22410	0.984140530641516	4.32508114323818e-14
AT4G08410	AT5G22410	0.974123096368657	8.93671277911191e-12
AT5G57540	AT5G22410	0.965787856471355	1.8444976688015e-10
AT4G13390	AT5G22410	0.969265215246607	5.77668082003085e-11
AT1G12040	AT5G22410	0.983257174192502	7.81277318761181e-14
AT3G60550	AT5G22410	0.926212038592858	7.04682182433587e-07
AT5G05500	AT5G22410	0.984883961108137	2.56024061494695e-14
AT3G62680	AT5G22410	0.990116209884381	2.45682105830356e-16
AT1G11920	AT5G22410	0.968545348275608	7.42458151121074e-11
AT5G35190	AT5G22410	0.96390931560102	3.28715173702674e-10
AT5G46890	AT5G22410	0.958063442611258	1.66205561398486e-09
AT3G48360	AT1G11260	0.924568558278861	8.89198380931586e-07
AT1G54970	AT2G45180	0.919795615949471	1.70171468173681e-06
AT4G07960	AT2G45180	0.954788123139665	3.73567568161376e-09
AT5G57530	AT2G45180	0.940576984225618	7.0171204338556e-08
AT4G08410	AT2G45180	0.929228390958996	4.52253996151553e-07
AT5G57540	AT2G45180	0.958268745549883	1.57660018588749e-09
AT4G13390	AT2G45180	0.949905966786347	1.12556928882958e-08
