ID,UM,MM,MappedReads
9.0,92.37,1.75,20147600.0
8.0,91.63,1.59,22008039.0
10.0,93.35,1.61,32098392.0
17.0,91.21,1.13,31215349.0
2.0,88.65,1.25,27212715.0
5.0,92.34,1.36,31199887.0
21.0,91.72,1.47,26766085.0
16.0,91.87,1.04,34293301.0
11.0,90.8,1.27,30206656.0
20.0,91.45,1.1,30294613.0
4.0,94.83,1.24,28211947.0
3.0,87.24,1.19,33913918.0
13.0,88.01,1.49,32170551.0
14.0,91.45,1.43,36781831.0
22.0,92.66,1.27,31489828.0
1.0,83.08,1.16,26917111.0
6.0,93.55,1.13,27877049.0
15.0,85.85,1.26,34083607.0
12.0,92.92,1.88,33099632.0
7.0,91.03,1.2,17950217.0
24.0,88.55,1.09,35987660.0
23.0,91.39,1.28,32353259.0
18.0,90.06,1.06,32005545.0
19.0,90.75,1.21,32359962.0
