	degree	betweenness	Rank_stat
AT5G63160	3	0.583333333333333	31.5
AT4G11650	7	97.2563714063714	66.5
AT4G17500	1	0	10.75
AT2G34315	1	0	10.75
AT1G54970	22	24.0657117392411	66.25
AT4G07960	26	5.96708937535086	66.5
AT2G39980	6	8.41666666666667	52.75
AT5G57530	27	40.8025232677282	77.75
AT5G37690	2	0	17
AT4G08410	24	3.27661572736837	59.75
AT3G48360	3	5	40.75
AT1G80180	1	0	10.75
AT4G03540	12	23.4639083139083	61.5
AT5G57540	27	8.07281145302527	71.25
AT1G56580	14	17.9082925631202	62
AT3G06435	7	0.166666666666667	39.5
AT1G73260	2	0	17
AT4G13390	23	1.45840323050263	54.75
AT4G12470	4	7.58333333333333	48.25
AT1G12040	23	1.84084226272416	55.25
AT3G60550	19	1.13737373737374	51.25
AT5G05500	24	2.49865479380481	58
AT5G49850	11	0.2	44.5
AT3G25770	2	0	17
AT3G45300	4	1	37.25
AT3G01970	4	7.40451631701631	47.5
AT3G03530	13	27.421805971806	64.25
AT3G62680	24	2.49865479380481	58
AT1G11920	21	0.166666666666667	48
AT5G10760	17	9.91993696975016	62
AT5G35190	24	3.27661572736837	59.75
AT5G46890	33	220.498042524434	88
AT5G22410	25	4.39594940421089	63
AT2G45180	25	42.9588531074231	75.25
AT5G28630	6	6.5	49.25
AT5G04960	29	50.5623656864749	81.25
AT4G22080	28	26.7893207727323	76
AT4G04890	4	0	25
AT3G03870	3	5	40.75
AT1G11260	2	1	29.25
AT3G18200	30	26.0555445915343	77
AT1G27950	4	0	25
AT5G59320	25	139.375908419523	80.75
AT4G19700	4	7.40451631701631	47.5
AT5G45670	19	31.4598015235084	66.75
AT5G06630	26	6.5016714818853	67.5
AT5G27420	1	0	10.75
AT2G24980	25	4.39594940421089	63
AT1G69160	3	0	21.25
AT1G17180	2	0	17
AT3G27770	1	0	10.75
AT3G27220	7	0.166666666666667	39.5
AT4G34380	1	0	10.75
AT1G48930	22	0.800590699421981	50.75
AT5G25610	29	73.7019006245426	83.25
AT5G39110	9	178.970006382506	71
AT5G06640	24	2.49865479380481	58
AT1G02640	2	0	17
AT1G29100	1	0	10.75
AT2G15780	7	54.9470055784009	65.5
AT4G22460	26	112.446443451829	81.5
AT2G39040	32	43.4311151895187	81.5
AT4G11170	4	32.0287878787879	54.25
AT4G22070	2	51	50
AT4G38420	13	32.1899607097883	65.75
AT2G16060	6	0	28.5
AT4G33560	7	0.166666666666667	39.5
AT1G33055	1	0	10.75
AT1G43800	7	0.166666666666667	39.5
AT5G39890	8	7.16666666666667	55.5
AT3G03270	7	0.166666666666667	39.5
AT2G47460	1	0	10.75
AT1G62510	6	43.7400778807756	60.25
AT2G45760	3	20.075974025974	47
AT4G17490	1	0	10.75
AT2G27550	1	0	10.75
AT1G54950	3	0.666666666666667	32
AT3G01175	2	1	29.25
AT1G70210	1	0	10.75
AT4G10530	4	1.25	38.75
AT1G18400	1	0	10.75
AT4G33770	2	0	17
AT1G19250	1	0	10.75
AT5G56080	6	134.030003330003	64.25
AT1G12805	6	0	28.5
AT5G59520	1	0	10.75
AT5G44110	3	51	54.25
AT1G55790	2	3.1047619047619	33.75
