ID,condition
R1,At_AmbientCO2_HighNitrate_Fe
R2,At_AmbientCO2_HighNitrate_Fe
R3,At_AmbientCO2_HighNitrate_Fe
R4,At_AmbientCO2_LowNitrate_Fe
R5,At_AmbientCO2_LowNitrate_Fe
R6,At_AmbientCO2_LowNitrate_Fe
R7,At_ElevatedCO2_HighNitrate_Fe
R8,At_ElevatedCO2_HighNitrate_Fe
R9,At_ElevatedCO2_HighNitrate_Fe
R10,At_ElevatedCO2_LowNitrate_Fe
R11,At_ElevatedCO2_LowNitrate_Fe
R12,At_ElevatedCO2_LowNitrate_Fe
R13,At_AmbientCO2_HighNitrate_FeStarvation
R14,At_AmbientCO2_HighNitrate_FeStarvation
R15,At_AmbientCO2_HighNitrate_FeStarvation
R16,At_AmbientCO2_LowNitrate_FeStarvation
R17,At_AmbientCO2_LowNitrate_FeStarvation
R18,At_AmbientCO2_LowNitrate_FeStarvation
R19,At_ElevatedCO2_HighNitrate_FeStarvation
R20,At_ElevatedCO2_HighNitrate_FeStarvation
R21,At_ElevatedCO2_HighNitrate_FeStarvation
R22,At_ElevatedCO2_LowNitrate_FeStarvation
R23,At_ElevatedCO2_LowNitrate_FeStarvation
R24,At_ElevatedCO2_LowNitrate_FeStarvation
R25,Sl_AmbientCO2_HighNitrate_Fe
R26,Sl_AmbientCO2_HighNitrate_Fe
R27,Sl_AmbientCO2_HighNitrate_Fe
R28,Sl_AmbientCO2_LowNitrate_Fe
R29,Sl_AmbientCO2_LowNitrate_Fe
R30,Sl_AmbientCO2_LowNitrate_Fe
R31,Sl_ElevatedCO2_HighNitrate_Fe
R32,Sl_ElevatedCO2_HighNitrate_Fe
R33,Sl_ElevatedCO2_HighNitrate_Fe
R34,Sl_ElevatedCO2_LowNitrate_Fe
R35,Sl_ElevatedCO2_LowNitrate_Fe
R36,Sl_ElevatedCO2_LowNitrate_Fe
R37,Sl_AmbientCO2_HighNitrate_FeStarvation
R38,Sl_AmbientCO2_HighNitrate_FeStarvation
R39,Sl_AmbientCO2_HighNitrate_FeStarvation
R40,Sl_AmbientCO2_LowNitrate_FeStarvation
R41,Sl_AmbientCO2_LowNitrate_FeStarvation
R42,Sl_AmbientCO2_LowNitrate_FeStarvation
R43,Sl_ElevatedCO2_HighNitrate_FeStarvation
R44,Sl_ElevatedCO2_HighNitrate_FeStarvation
R45,Sl_ElevatedCO2_HighNitrate_FeStarvation
R46,Sl_ElevatedCO2_LowNitrate_FeStarvation
R47,Sl_ElevatedCO2_LowNitrate_FeStarvation
R48,Sl_ElevatedCO2_LowNitrate_FeStarvation
