Species	Protein ID	Family	Genome/EST	Category
Arabidopsis thaliana	AT1G04880.1	ARID	Genome	Other
Arabidopsis thaliana	AT1G20910.1	ARID	Genome	Other
Arabidopsis thaliana	AT1G55650.1	ARID	Genome	Other
Arabidopsis thaliana	AT1G76110.1	ARID	Genome	Other
Arabidopsis thaliana	AT1G76510.1	ARID	Genome	Other
Arabidopsis thaliana	AT1G76510.2	ARID	Genome	Other
Arabidopsis thaliana	AT2G17410.1	ARID	Genome	Other
Arabidopsis thaliana	AT2G46040.1	ARID	Genome	Other
Arabidopsis thaliana	AT3G13350.1	ARID	Genome	Other
Arabidopsis thaliana	AT3G43240.1	ARID	Genome	Other
Arabidopsis thaliana	AT4G11400.1	ARID	Genome	Other
Arabidopsis thaliana	AT1G04100.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT1G04240.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT1G04250.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT1G04550.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT1G04550.2	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT1G15050.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT1G15580.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT1G51950.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT1G52830.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT1G80390.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT2G01200.2	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT2G22670.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT2G22670.2	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT2G22670.3	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT2G33310.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT2G33310.2	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT2G33310.3	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT2G46990.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT3G04730.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT3G15540.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT3G16500.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT3G17600.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT3G23030.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT3G23050.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT3G23050.2	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT3G62100.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT4G14550.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT4G14560.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT4G28640.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT4G28640.2	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT4G29080.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT4G32280.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT5G25890.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT5G43700.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT5G65670.1	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT5G65670.2	AUX/IAA	Genome	Other
Arabidopsis thaliana	AT4G10920.1	Coactivator p15	Genome	Other
Arabidopsis thaliana	AT4G10920.2	Coactivator p15	Genome	Other
Arabidopsis thaliana	AT5G09240.1	Coactivator p15	Genome	Other
Arabidopsis thaliana	AT5G09240.2	Coactivator p15	Genome	Other
Arabidopsis thaliana	AT5G09240.3	Coactivator p15	Genome	Other
Arabidopsis thaliana	AT5G09250.1	Coactivator p15	Genome	Other
Arabidopsis thaliana	AT5G09250.2	Coactivator p15	Genome	Other
Arabidopsis thaliana	AT5G08630.1	DDT	Genome	Other
Arabidopsis thaliana	AT5G12400.1	DDT	Genome	Other
Arabidopsis thaliana	AT5G22760.1	DDT	Genome	Other
Arabidopsis thaliana	AT5G35210.1	DDT	Genome	Other
Arabidopsis thaliana	AT5G35210.2	DDT	Genome	Other
Arabidopsis thaliana	AT1G03150.1	GNAT	Genome	Other
Arabidopsis thaliana	AT1G03650.1	GNAT	Genome	Other
Arabidopsis thaliana	AT1G18335.1	GNAT	Genome	Other
Arabidopsis thaliana	AT1G24040.1	GNAT	Genome	Other
Arabidopsis thaliana	AT1G24040.2	GNAT	Genome	Other
Arabidopsis thaliana	AT1G26220.1	GNAT	Genome	Other
Arabidopsis thaliana	AT1G32070.1	GNAT	Genome	Other
Arabidopsis thaliana	AT1G32070.2	GNAT	Genome	Other
Arabidopsis thaliana	AT1G32070.3	GNAT	Genome	Other
Arabidopsis thaliana	AT1G72030.1	GNAT	Genome	Other
Arabidopsis thaliana	AT2G04845.1	GNAT	Genome	Other
Arabidopsis thaliana	AT2G06025.1	GNAT	Genome	Other
Arabidopsis thaliana	AT2G22910.1	GNAT	Genome	Other
Arabidopsis thaliana	AT2G23060.1	GNAT	Genome	Other
Arabidopsis thaliana	AT2G23060.2	GNAT	Genome	Other
Arabidopsis thaliana	AT2G30090.1	GNAT	Genome	Other
Arabidopsis thaliana	AT2G32020.1	GNAT	Genome	Other
Arabidopsis thaliana	AT2G32030.1	GNAT	Genome	Other
Arabidopsis thaliana	AT2G38130.1	GNAT	Genome	Other
Arabidopsis thaliana	AT2G38130.2	GNAT	Genome	Other
Arabidopsis thaliana	AT2G39000.1	GNAT	Genome	Other
Arabidopsis thaliana	AT2G39000.3	GNAT	Genome	Other
Arabidopsis thaliana	AT2G39020.1	GNAT	Genome	Other
Arabidopsis thaliana	AT2G39030.1	GNAT	Genome	Other
Arabidopsis thaliana	AT2G41450.1	GNAT	Genome	Other
Arabidopsis thaliana	AT2G41450.2	GNAT	Genome	Other
Arabidopsis thaliana	AT3G02980.1	GNAT	Genome	Other
Arabidopsis thaliana	AT3G22560.1	GNAT	Genome	Other
Arabidopsis thaliana	AT3G54610.1	GNAT	Genome	Other
Arabidopsis thaliana	AT4G19985.1	GNAT	Genome	Other
Arabidopsis thaliana	AT4G28030.1	GNAT	Genome	Other
Arabidopsis thaliana	AT4G28030.2	GNAT	Genome	Other
Arabidopsis thaliana	AT4G37580.1	GNAT	Genome	Other
Arabidopsis thaliana	AT4G37670.2	GNAT	Genome	Other
Arabidopsis thaliana	AT5G11340.1	GNAT	Genome	Other
Arabidopsis thaliana	AT5G13780.1	GNAT	Genome	Other
Arabidopsis thaliana	AT5G15770.1	GNAT	Genome	Other
Arabidopsis thaliana	AT5G16800.1	GNAT	Genome	Other
Arabidopsis thaliana	AT5G16800.2	GNAT	Genome	Other
Arabidopsis thaliana	AT5G50320.1	GNAT	Genome	Other
Arabidopsis thaliana	AT5G67430.1	GNAT	Genome	Other
Arabidopsis thaliana	AT1G20693.1	HMG	Genome	Other
Arabidopsis thaliana	AT1G20693.2	HMG	Genome	Other
Arabidopsis thaliana	AT1G20693.3	HMG	Genome	Other
Arabidopsis thaliana	AT1G20696.1	HMG	Genome	Other
Arabidopsis thaliana	AT1G20696.2	HMG	Genome	Other
Arabidopsis thaliana	AT1G20696.3	HMG	Genome	Other
Arabidopsis thaliana	AT2G17560.1	HMG	Genome	Other
Arabidopsis thaliana	AT2G17560.2	HMG	Genome	Other
Arabidopsis thaliana	AT2G17560.3	HMG	Genome	Other
Arabidopsis thaliana	AT2G34450.1	HMG	Genome	Other
Arabidopsis thaliana	AT2G34450.2	HMG	Genome	Other
Arabidopsis thaliana	AT3G28730.1	HMG	Genome	Other
Arabidopsis thaliana	AT3G51880.1	HMG	Genome	Other
Arabidopsis thaliana	AT3G51880.2	HMG	Genome	Other
Arabidopsis thaliana	AT3G51880.3	HMG	Genome	Other
Arabidopsis thaliana	AT4G11080.1	HMG	Genome	Other
Arabidopsis thaliana	AT4G23800.1	HMG	Genome	Other
Arabidopsis thaliana	AT4G35570.1	HMG	Genome	Other
Arabidopsis thaliana	AT5G23405.1	HMG	Genome	Other
Arabidopsis thaliana	AT5G23405.2	HMG	Genome	Other
Arabidopsis thaliana	AT5G23420.1	HMG	Genome	Other
Arabidopsis thaliana	AT1G32130.1	IWS1	Genome	Other
Arabidopsis thaliana	AT4G19000.1	IWS1	Genome	Other
Arabidopsis thaliana	AT1G08620.1	Jumonji	Genome	Other
Arabidopsis thaliana	AT1G09060.1	Jumonji	Genome	Other
Arabidopsis thaliana	AT1G09060.2	Jumonji	Genome	Other
Arabidopsis thaliana	AT1G09060.3	Jumonji	Genome	Other
Arabidopsis thaliana	AT1G11950.1	Jumonji	Genome	Other
Arabidopsis thaliana	AT1G30810.1	Jumonji	Genome	Other
Arabidopsis thaliana	AT1G62310.1	Jumonji	Genome	Other
Arabidopsis thaliana	AT1G63490.1	Jumonji	Genome	Other
Arabidopsis thaliana	AT1G78280.1	Jumonji	Genome	Other
Arabidopsis thaliana	AT2G34880.1	Jumonji	Genome	Other
Arabidopsis thaliana	AT2G38950.1	Jumonji	Genome	Other
Arabidopsis thaliana	AT3G07610.1	Jumonji	Genome	Other
Arabidopsis thaliana	AT4G00990.1	Jumonji	Genome	Other
Arabidopsis thaliana	AT4G20400.1	Jumonji	Genome	Other
Arabidopsis thaliana	AT4G20400.2	Jumonji	Genome	Other
Arabidopsis thaliana	AT5G06550.1	Jumonji	Genome	Other
Arabidopsis thaliana	AT5G46910.1	Jumonji	Genome	Other
Arabidopsis thaliana	AT5G63080.1	Jumonji	Genome	Other
Arabidopsis thaliana	AT2G32700.1	LUG	Genome	Other
Arabidopsis thaliana	AT2G32700.2	LUG	Genome	Other
Arabidopsis thaliana	AT2G32700.3	LUG	Genome	Other
Arabidopsis thaliana	AT2G32700.4	LUG	Genome	Other
Arabidopsis thaliana	AT2G32700.5	LUG	Genome	Other
Arabidopsis thaliana	AT2G32700.6	LUG	Genome	Other
Arabidopsis thaliana	AT4G32551.1	LUG	Genome	Other
Arabidopsis thaliana	AT2G42680.1	MBF1	Genome	Other
Arabidopsis thaliana	AT3G24500.1	MBF1	Genome	Other
Arabidopsis thaliana	AT3G58680.1	MBF1	Genome	Other
Arabidopsis thaliana	AT3G21350.1	MED6	Genome	Other
Arabidopsis thaliana	AT5G03220.1	MED7	Genome	Other
Arabidopsis thaliana	AT5G03500.1	MED7	Genome	Other
Arabidopsis thaliana	AT5G03500.2	MED7	Genome	Other
Arabidopsis thaliana	AT1G05380.1	PHD	Genome	Other
Arabidopsis thaliana	AT1G05380.2	PHD	Genome	Other
Arabidopsis thaliana	AT1G05830.1	PHD	Genome	Other
Arabidopsis thaliana	AT1G05830.2	PHD	Genome	Other
Arabidopsis thaliana	AT1G32810.2	PHD	Genome	Other
Arabidopsis thaliana	AT1G33420.1	PHD	Genome	Other
Arabidopsis thaliana	AT1G43770.1	PHD	Genome	Other
Arabidopsis thaliana	AT1G43770.2	PHD	Genome	Other
Arabidopsis thaliana	AT1G50620.1	PHD	Genome	Other
Arabidopsis thaliana	AT1G54390.3	PHD	Genome	Other
Arabidopsis thaliana	AT1G54390.4	PHD	Genome	Other
Arabidopsis thaliana	AT1G54390.5	PHD	Genome	Other
Arabidopsis thaliana	AT1G66170.1	PHD	Genome	Other
Arabidopsis thaliana	AT1G68030.1	PHD	Genome	Other
Arabidopsis thaliana	AT1G77250.1	PHD	Genome	Other
Arabidopsis thaliana	AT1G77800.1	PHD	Genome	Other
Arabidopsis thaliana	AT1G79350.1	PHD	Genome	Other
Arabidopsis thaliana	AT2G01810.1	PHD	Genome	Other
Arabidopsis thaliana	AT2G19260.1	PHD	Genome	Other
Arabidopsis thaliana	AT2G25170.1	PHD	Genome	Other
Arabidopsis thaliana	AT2G31650.1	PHD	Genome	Other
Arabidopsis thaliana	AT2G36720.1	PHD	Genome	Other
Arabidopsis thaliana	AT2G37520.1	PHD	Genome	Other
Arabidopsis thaliana	AT2G40770.1	PHD	Genome	Other
Arabidopsis thaliana	AT3G01460.1	PHD	Genome	Other
Arabidopsis thaliana	AT3G05670.1	PHD	Genome	Other
Arabidopsis thaliana	AT3G14740.1	PHD	Genome	Other
Arabidopsis thaliana	AT3G14740.2	PHD	Genome	Other
Arabidopsis thaliana	AT3G14980.1	PHD	Genome	Other
Arabidopsis thaliana	AT3G20280.1	PHD	Genome	Other
Arabidopsis thaliana	AT3G20280.2	PHD	Genome	Other
Arabidopsis thaliana	AT3G24010.1	PHD	Genome	Other
Arabidopsis thaliana	AT3G53680.1	PHD	Genome	Other
Arabidopsis thaliana	AT3G61740.1	PHD	Genome	Other
Arabidopsis thaliana	AT3G61740.2	PHD	Genome	Other
Arabidopsis thaliana	AT4G12620.1	PHD	Genome	Other
Arabidopsis thaliana	AT4G14700.1	PHD	Genome	Other
Arabidopsis thaliana	AT4G14920.1	PHD	Genome	Other
Arabidopsis thaliana	AT4G22140.1	PHD	Genome	Other
Arabidopsis thaliana	AT4G22140.2	PHD	Genome	Other
Arabidopsis thaliana	AT4G27910.1	PHD	Genome	Other
Arabidopsis thaliana	AT4G39100.1	PHD	Genome	Other
Arabidopsis thaliana	AT5G09790.1	PHD	Genome	Other
Arabidopsis thaliana	AT5G09790.2	PHD	Genome	Other
